0.0,85.7
50000.0,58.2
100000.0,61.6
150000.0,61.8
200000.0,61.3
250000.0,63.6
300000.0,64.0
350000.0,63.4
400000.0,63.7
450000.0,63.8
500000.0,61.5
550000.0,60.7
600000.0,60.6
650000.0,60.8
700000.0,60.7
750000.0,61.6
800000.0,60.8
850000.0,60.7
900000.0,62.1
950000.0,60.8
1000000.0,83.1
1050000.0,83.0
1100000.0,82.8
1150000.0,82.9
1200000.0,83.0
1250000.0,82.8
1300000.0,83.1
1350000.0,82.6
1400000.0,83.0
1450000.0,83.0
1500000.0,83.3
1550000.0,82.8
1600000.0,82.8
1650000.0,82.8
1700000.0,83.0
1750000.0,83.1
1800000.0,82.6
1850000.0,83.1
1900000.0,82.9
1950000.0,82.9
